Region;Units Sold
Australia and Oceania;2401
Europe;9340
North America;103
Europe;1414
Middle East and North Africa;7027
Sub-Saharan Africa;2729
Europe;1337
Middle East and North Africa;7699
Sub-Saharan Africa;3696
North America;3239
Europe;7270
Sub-Saharan Africa;8763
Europe;7722
Europe;6184
Asia;3216
Sub-Saharan Africa;9917
Asia;4416
Sub-Saharan Africa;6875
Europe;4486
Europe;6473
Europe;9091
Asia;625
Middle East and North Africa;6394
Asia;3745
Sub-Saharan Africa;7059
Europe;2747
Sub-Saharan Africa;4251
Middle East and North Africa;7045
Central America and the Caribbean;3633
Central America and the Caribbean;8553
Europe;3370
Middle East and North Africa;1685
Middle East and North Africa;4126
Sub-Saharan Africa;3355
Sub-Saharan Africa;9064
Europe;2978
Asia;3850
Europe;2467
Sub-Saharan Africa;6646
Europe;6236
Sub-Saharan Africa;8117
Asia;1200
Europe;1427
Europe;6772
Europe;2240
Australia and Oceania;4867
Sub-Saharan Africa;8720
Asia;9898
Europe;1531
Central America and the Caribbean;8781
Europe;3838
Europe;928
Europe;1304
Middle East and North Africa;8253
Europe;2093
Middle East and North Africa;5172
Sub-Saharan Africa;6870
Europe;8598
Europe;8798
Sub-Saharan Africa;7945
Sub-Saharan Africa;3542
North America;5126
Sub-Saharan Africa;9265
Europe;4557
Sub-Saharan Africa;6632
Australia and Oceania;3151
Middle East and North Africa;8807
Europe;323
Europe;1454
Asia;7986
Central America and the Caribbean;2736
Europe;554
Sub-Saharan Africa;3318
Europe;4941
Sub-Saharan Africa;6365
Sub-Saharan Africa;562
Central America and the Caribbean;7539
Europe;9331
Sub-Saharan Africa;5006
Asia;5661
Asia;9428
Asia;6467
Europe;3971
Europe;1163
Sub-Saharan Africa;4299
Middle East and North Africa;1663
Sub-Saharan Africa;8574
Middle East and North Africa;2381
Australia and Oceania;7462
Asia;230
Europe;4127
Asia;4626
Asia;4232
Middle East and North Africa;7481
Central America and the Caribbean;5941
Middle East and North Africa;3211
North America;9920
Sub-Saharan Africa;8729
Sub-Saharan Africa;9331
Middle East and North Africa;3449
Sub-Saharan Africa;9839
Europe;9286
Central America and the Caribbean;9608
Europe;653
Middle East and North Africa;9301
Europe;4464
Middle East and North Africa;2084
Asia;134
Asia;3620
Europe;9577
Middle East and North Africa;2072
Sub-Saharan Africa;7206
Asia;8106
Europe;9936
Sub-Saharan Africa;4886
Australia and Oceania;7180
Europe;8074
Australia and Oceania;854
Europe;5836
Australia and Oceania;5370
Europe;8836
Central America and the Caribbean;7644
Europe;236
Asia;7088
Sub-Saharan Africa;5703
Sub-Saharan Africa;5617
North America;3399
Sub-Saharan Africa;7646
Central America and the Caribbean;3989
North America;88
Sub-Saharan Africa;636
Sub-Saharan Africa;2357
Europe;9005
Central America and the Caribbean;6367
Sub-Saharan Africa;7260
Australia and Oceania;6533
Sub-Saharan Africa;6065
Europe;9768
Asia;8584
Asia;5487
Sub-Saharan Africa;481
Middle East and North Africa;5603
Sub-Saharan Africa;9921
Europe;4531
Middle East and North Africa;7566
Europe;9185
Europe;6581
Europe;8979
Middle East and North Africa;2631
Europe;5826
Middle East and North Africa;3880
Europe;4141
Middle East and North Africa;990
Sub-Saharan Africa;838
Australia and Oceania;7127
Sub-Saharan Africa;5331
Central America and the Caribbean;7955
Sub-Saharan Africa;9535
Sub-Saharan Africa;1637
Europe;7862
Australia and Oceania;8839
Australia and Oceania;7228
Asia;2722
Australia and Oceania;7046
Europe;8953
Central America and the Caribbean;9230
Europe;5694
Europe;8195
Sub-Saharan Africa;3611
Asia;854
Asia;5866
Sub-Saharan Africa;6621
Australia and Oceania;8124
Sub-Saharan Africa;7411
Central America and the Caribbean;8550
Sub-Saharan Africa;7638
Sub-Saharan Africa;7806
Middle East and North Africa;4216
Middle East and North Africa;9058
Europe;6558
Europe;7970
Sub-Saharan Africa;6579
Europe;2704
Central America and the Caribbean;8693
Middle East and North Africa;3926
Sub-Saharan Africa;9814
Central America and the Caribbean;4800
Europe;9356
Sub-Saharan Africa;989
Sub-Saharan Africa;9233
Middle East and North Africa;657
Europe;3860
Europe;4470
Middle East and North Africa;149
Central America and the Caribbean;5590
Australia and Oceania;7516
Sub-Saharan Africa;9682
Middle East and North Africa;7874
Middle East and North Africa;4909
Europe;5637
Sub-Saharan Africa;1937
Europe;7720
Europe;3929
Middle East and North Africa;3537
Europe;6549
Asia;5001
Sub-Saharan Africa;7960
Sub-Saharan Africa;6526
Europe;8828
Sub-Saharan Africa;5028
Europe;2317
Europe;9919
Sub-Saharan Africa;4089
Sub-Saharan Africa;3114
Sub-Saharan Africa;2310
Central America and the Caribbean;9027
Europe;7643
Central America and the Caribbean;4571
Central America and the Caribbean;3253
Sub-Saharan Africa;9162
Europe;4804
Central America and the Caribbean;4713
Australia and Oceania;459
Europe;5638
Europe;882
Asia;8852
Europe;9239
Sub-Saharan Africa;3767
Middle East and North Africa;1192
Sub-Saharan Africa;2299
Europe;4906
Europe;8861
Middle East and North Africa;1045
Central America and the Caribbean;368
Asia;2773
Europe;6233
Sub-Saharan Africa;5754
Middle East and North Africa;8371
Asia;8152
Central America and the Caribbean;1196
Europe;631
Middle East and North Africa;1621
Sub-Saharan Africa;6356
Asia;9061
Europe;990
Sub-Saharan Africa;5430
Central America and the Caribbean;2697
Europe;5141
Asia;2142
Middle East and North Africa;5110
Sub-Saharan Africa;2488
Australia and Oceania;4750
Australia and Oceania;9400
Asia;5974
Australia and Oceania;1041
Middle East and North Africa;3198
Europe;8076
Sub-Saharan Africa;3335
Europe;3669
Europe;5800
Asia;3483
Sub-Saharan Africa;2505
Central America and the Caribbean;5684
Australia and Oceania;7867
Australia and Oceania;934
Europe;8797
Australia and Oceania;2398
Europe;4711
Sub-Saharan Africa;5741
Middle East and North Africa;7523
Sub-Saharan Africa;9125
Middle East and North Africa;1646
Sub-Saharan Africa;3216
Europe;3995
Europe;1177
North America;3984
Middle East and North Africa;8672
Middle East and North Africa;3527
Europe;3866
Australia and Oceania;7037
Sub-Saharan Africa;7422
Europe;1430
Europe;2504
Sub-Saharan Africa;6118
Australia and Oceania;4777
Europe;3017
Europe;2405
Central America and the Caribbean;6540
Sub-Saharan Africa;6051
Europe;3600
Sub-Saharan Africa;8880
Sub-Saharan Africa;3614
Asia;6556
Sub-Saharan Africa;8493
Middle East and North Africa;7243
Europe;2653
Sub-Saharan Africa;1604
Middle East and North Africa;3008
Asia;2805
Middle East and North Africa;8970
Sub-Saharan Africa;6509
Sub-Saharan Africa;2456
Central America and the Caribbean;880
North America;7878
Middle East and North Africa;6582
Middle East and North Africa;2151
Europe;6779
Sub-Saharan Africa;4689
Europe;7135
Central America and the Caribbean;7405
Sub-Saharan Africa;5815
Europe;4714
Australia and Oceania;3482
Central America and the Caribbean;3531
Asia;3301
Europe;3268
Middle East and North Africa;936
Europe;5840
Sub-Saharan Africa;4550
Sub-Saharan Africa;5662
North America;4807
Central America and the Caribbean;9647
Europe;4873
Sub-Saharan Africa;7209
Europe;410
Central America and the Caribbean;262
Asia;9583
Central America and the Caribbean;3221
Asia;3056
Central America and the Caribbean;2999
Europe;3993
Sub-Saharan Africa;9011
Middle East and North Africa;8058
Middle East and North Africa;3170
Sub-Saharan Africa;3415
Sub-Saharan Africa;9891
Australia and Oceania;728
Sub-Saharan Africa;6088
Central America and the Caribbean;3162
Sub-Saharan Africa;1174
Sub-Saharan Africa;6380
Sub-Saharan Africa;7065
Middle East and North Africa;8546
Europe;8173
Europe;325
Europe;1413
Asia;4880
Australia and Oceania;6199
Sub-Saharan Africa;7876
Middle East and North Africa;4445
Central America and the Caribbean;7476
Sub-Saharan Africa;566
Europe;4345
Sub-Saharan Africa;1474
Middle East and North Africa;1647
Central America and the Caribbean;6585
Australia and Oceania;5045
Asia;7812
Middle East and North Africa;2704
North America;9570
Central America and the Caribbean;5289
Sub-Saharan Africa;8772
Asia;5962
Asia;4833
Sub-Saharan Africa;388
Europe;9666
Middle East and North Africa;6732
Central America and the Caribbean;7686
Asia;5657
Middle East and North Africa;5806
Asia;326
Europe;3441
Central America and the Caribbean;6406
Central America and the Caribbean;2505
Australia and Oceania;2058
Middle East and North Africa;7412
Australia and Oceania;7948
Asia;5076
Europe;7240
Asia;4911
Europe;5597
Sub-Saharan Africa;8831
Sub-Saharan Africa;1183
Sub-Saharan Africa;1251
Central America and the Caribbean;4664
Europe;9083
